"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DTX3L",1.39231236263356e-115,-1.02788577551935,0.085,0.151,4.0526035939175e-111
"LURAP1",1.47058121971724e-115,1.33188548288784,0.086,0.037,4.28042075623097e-111
"SRSF12",1.81179044853906e-115,1.46817576513853,0.064,0.022,5.27357845856263e-111
"CCT6A",1.89125989387767e-115,0.829110928208981,0.193,0.121,5.50489017310974e-111
"CERCAM",2.50073770335778e-115,-2.21850752662994,0.033,0.081,7.27889723316349e-111
"VPS8",2.53467920435711e-115,0.311469273521203,0.711,0.637,7.37769076012225e-111
"SH3PXD2A",3.65869767735287e-115,0.688319903952265,0.308,0.226,1.0649371329471e-110
"PTPRN2",5.1995013073422e-115,-1.3518778086394,0.09,0.156,1.51341884552809e-110
"BCL6",5.94409826839755e-115,-0.617678976342619,0.215,0.305,1.73014868298248e-110
"TPST2",1.01008569551416e-114,0.735515657381952,0.244,0.166,2.94005643393307e-110
"MEF2C-AS2",1.28356816428693e-114,-1.72645478181374,0.019,0.06,3.73608185578998e-110
"DOCK11",1.79382201749527e-114,0.28985710744748,0.8,0.732,5.22127774632348e-110
"MTRNR2L12",1.82890444831305e-114,-1.90458796028619,0.115,0.184,5.32339217770479e-110
"AC100839.2",2.84885060881776e-114,-1.8242624209854,0.018,0.057,8.29214946708587e-110
"CPEB4",2.85235969940353e-114,0.423605502203259,0.636,0.567,8.30236337705386e-110
"PSMB9",3.57766456704913e-114,-0.946070781709371,0.082,0.148,1.04135082553099e-109
"ANGPT2",5.0929227039029e-114,-0.988093818983458,0.092,0.159,1.48239701142502e-109
"RENBP",6.14960588401764e-114,0.842754022842294,0.19,0.119,1.78996578466101e-109
"PDS5A",8.19051148407439e-114,0.273035373736749,0.744,0.662,2.38401217766953e-109
"GAS6-AS1",1.54379556314413e-113,-0.758997789777233,0.145,0.225,4.49352574564362e-109
"CSNK1A1",1.57297243104201e-113,0.285387138562744,0.724,0.657,4.57845085503399e-109
"N4BP2L2",1.73509926707444e-113,0.271630375893071,0.854,0.785,5.05035343667357e-109
"AC004593.3",2.44941771769017e-113,-2.16762782772251,0.011,0.045,7.12952015088078e-109
"RASA2",2.77647424103378e-113,0.428972386574073,0.527,0.448,8.08148357337703e-109
"RELB",2.77903046194417e-113,0.687261247621148,0.154,0.086,8.0889239655809e-109
"KDM5D",3.76035525626092e-113,-1.01950394410653,0.053,0.111,1.09452660443987e-108
"SULT1C2",4.01685218239086e-113,2.05371494650538,0.078,0.032,1.16918516472851e-108
"BEAN1",4.68920100637277e-113,-1.53292829932998,0.033,0.08,1.36488573692492e-108
"ZNF331",4.90379037535139e-113,1.17292334922003,0.276,0.2,1.42734626455353e-108
"ARHGEF6",9.0949542223207e-113,-0.353774324150613,0.501,0.594,2.64726832549089e-108
"PFKP",1.16539571803001e-112,-0.986902085517573,0.099,0.168,3.39211731646994e-108
"ZNF708",1.62036924147155e-112,-0.75200056118074,0.146,0.224,4.71640875115123e-108
"SPDYE3",1.75771470799415e-112,-1.12770097719339,0.076,0.138,5.11618020055856e-108
"OTULIN",1.90630966360258e-112,0.877929244904526,0.33,0.257,5.54869553784802e-108
"RNF180",2.16671201078465e-112,-1.52626286461081,0.033,0.08,6.30664864979087e-108
"AL683807.1",2.33562735081351e-112,-1.81928592100056,0.021,0.061,6.79831053001287e-108
"PSTPIP2",3.331195500498e-112,-0.73098158957635,0.169,0.25,9.69611074329954e-108
"MYO18A",3.57060667250094e-112,-0.654401831143827,0.196,0.284,1.03929648416485e-107
"ADGRB3",3.81607758691157e-112,-1.02709362622284,0.162,0.234,1.11074570322235e-107
"DCAF12",3.8871185210398e-112,-0.857159268387562,0.112,0.185,1.13142358791906e-107
"OLR1",4.36925287517081e-112,-0.317908265484738,0.46,0.553,1.27175843437597e-107
"HIVEP2",4.48821957835837e-112,0.934140598307598,0.263,0.188,1.30638607267277e-107
"TNFRSF11B",6.31040405953942e-112,-2.28652055874312,0.008,0.039,1.83676930961014e-107
"ERMAP",6.58653693705035e-112,-0.627767124580469,0.171,0.256,1.91714330626725e-107
"KLHL5",6.66918283040621e-112,-0.32563704678888,0.56,0.655,1.94119904644633e-107
"VIM",7.3025929351649e-112,-1.29652347645917,0.03,0.077,2.12556572563845e-107
"TRG-AS1",7.50135073758362e-112,-1.15252681692334,0.044,0.097,2.18341815918846e-107
"GRK2",7.51501179775634e-112,0.378154061641003,0.388,0.298,2.18739448397294e-107
"PARN",8.42921347265971e-112,-0.466213734389784,0.32,0.419,2.45349116548706e-107
"GSDME",9.27329906521684e-112,-0.637594103187054,0.164,0.247,2.69917915891267e-107
"IVNS1ABP",9.67445380205653e-112,0.572557556607472,0.318,0.236,2.81594326816459e-107
"TBL1X",9.88792293637329e-112,0.666240006942458,0.293,0.211,2.87807772909017e-107
"NDFIP1",1.54708970438578e-111,0.421114697706699,0.492,0.408,4.50311400255569e-107
"PLEKHH2",2.65210029434216e-111,1.19210872701782,0.089,0.04,7.71946832674173e-107
"COPG2",3.30658203523277e-111,-0.741348912149967,0.127,0.204,9.62446832995201e-107
"CTBP2",5.4442691782296e-111,0.307598604063904,0.802,0.729,1.58466342970729e-106
"TMC7",1.08479792003752e-110,-1.48286591712578,0.04,0.089,3.15752130585321e-106
"ZNHIT6",1.22189699182519e-110,-0.674356470180036,0.124,0.2,3.55657557410559e-106
"LUC7L3",1.8244348395615e-110,0.278831064929497,0.592,0.505,5.31038248751164e-106
"RNF150",2.25295481576221e-110,0.452304436612638,0.603,0.533,6.55767558223907e-106
"PARP12",2.41115744272663e-110,-0.725155948699785,0.171,0.252,7.0181559685444e-106
"PTPRM",3.07079447370331e-110,-0.354100566129272,0.42,0.516,8.93816147460822e-106
"RAB21",4.27199806694497e-110,0.598334590342789,0.335,0.253,1.24345047734567e-105
"DAAM1",4.41614702936189e-110,0.587935234445013,0.359,0.275,1.28540791583636e-105
"IL1B",4.47664327726468e-110,-2.31877695164808,0.025,0.067,1.30301655871343e-105
"RACGAP1",6.24768897877727e-110,-0.96646481143035,0.078,0.142,1.8185148310527e-105
"AC092652.2",9.34821230192871e-110,-1.08083786347177,0.047,0.101,2.72098415472239e-105
"PCM1",9.77833469078325e-110,0.255899263911883,0.77,0.691,2.84617987844628e-105
"FKTN",1.00851664765813e-109,-0.828578208730438,0.095,0.163,2.93548940633851e-105
"VAV1",1.04707410086349e-109,-0.433055440302963,0.52,0.593,3.04771858538335e-105
"TMCC3",1.09505778267293e-109,-0.380546873077372,0.472,0.56,3.18738468802609e-105
"WIPI2",1.17236416685858e-109,0.521085629883974,0.331,0.247,3.41240038047526e-105
"HERPUD1",1.5804751505746e-109,0.55869241988258,0.47,0.383,4.60028902077749e-105
"GIPC2",2.35355082768035e-109,0.906948163277652,0.093,0.043,6.8504803941292e-105
"PHOSPHO1",2.4398586132345e-109,-2.40745552776856,0.007,0.036,7.10169646554167e-105
"ADAMTS10",3.07448330646431e-109,-0.636134262017747,0.195,0.283,8.94889856012567e-105
"HIST1H3J",3.07687442679345e-109,-2.42094063141852,0.006,0.035,8.95585839406769e-105
"SSPN",3.70240460894669e-109,-0.56983678090329,0.161,0.246,1.07765890952611e-104
"CADM1",4.26907310772966e-109,-0.722417376045335,0.156,0.233,1.24259910946687e-104
"ST7",5.3261835258239e-109,0.848337859418862,0.23,0.156,1.55029223886156e-104
"AC004593.1",6.22665044976315e-109,-1.95602358432814,0.013,0.047,1.81239114641256e-104
"OSER1",7.47178654786167e-109,1.00736370086109,0.145,0.083,2.1748129104861e-104
"DOK2",8.28824650260083e-109,2.67810701339585,0.026,0.002,2.41245990951202e-104
"SLC39A11",1.12808496257064e-108,-0.314802990616004,0.607,0.687,3.28351690055435e-104
"Z94721.1",1.31496673942083e-108,-1.17035588051686,0.053,0.107,3.8274736884322e-104
"HMGB1",1.49396505743282e-108,0.510014003055882,0.393,0.31,4.34848409266972e-104
"PXDC1",1.8553115744409e-108,0.851863967666983,0.207,0.136,5.40025539972514e-104
"UBQLN1",1.90837402913721e-108,0.598795971143887,0.37,0.29,5.55470428660967e-104
"AC018816.1",1.96210115749979e-108,-1.01787384974941,0.059,0.116,5.71108783913463e-104
"PLEKHA5",2.00070982553271e-108,0.58249047030443,0.376,0.292,5.82346608917806e-104
"PLEKHG1",3.7496987107854e-108,-1.15553640070489,0.07,0.129,1.09142480374831e-103
"SIGLEC8",3.82343781018877e-108,0.627049068477315,0.369,0.296,1.11288804341165e-103
"PIK3CB",3.99869692817563e-108,-0.487312073661136,0.324,0.42,1.16390071488408e-103
"JOSD1",4.06432127763329e-108,0.876513009751246,0.148,0.086,1.18300199428072e-103
"PPP1R14A",4.34450926422443e-108,-2.0632765673268,0.015,0.051,1.2645563115378e-103
"COL9A2",4.78347760406287e-108,0.80222043249485,0.162,0.097,1.39232682621458e-103
"SCPEP1",4.81141432867667e-108,-0.590392070386381,0.233,0.322,1.40045836864792e-103
"AC009061.2",5.04267348931374e-108,-0.781557674426823,0.102,0.173,1.46777097253455e-103
"RPS15",5.57542420747119e-108,0.633829358099572,0.336,0.257,1.62283872406864e-103
"SH3RF1",6.37187250032969e-108,0.587719583424968,0.368,0.284,1.85466092867096e-103
"EIF4G2",8.20975895961815e-108,0.583954692270404,0.293,0.214,2.38961454037605e-103
"STX11",8.56176384324336e-108,1.07285061374342,0.124,0.066,2.49207260185285e-103
"SH3GL1",9.45768372017709e-108,0.568613645944705,0.269,0.188,2.75284800043195e-103
"MYO10",9.81985896185528e-108,-0.629455641920573,0.162,0.243,2.85826634802722e-103
"PCBP2",1.32729839249441e-107,0.361115146054676,0.505,0.421,3.86336743103347e-103
"ARMCX3",1.50980156897379e-107,0.842340368711928,0.151,0.088,4.39457942681202e-103
"PHF10",1.83161983223048e-107,0.727545850983536,0.19,0.12,5.33129584567327e-103
"APOL6",1.94900689411069e-107,-1.04451742895703,0.078,0.14,5.67297436668798e-103
"NBL1",2.62327851918333e-107,1.56618350890162,0.062,0.022,7.63557678578693e-103
"PROX1",3.83414146412211e-107,1.06020696766477,0.112,0.057,1.11600355596202e-102
"AC103740.1",4.72104567778155e-107,-2.1575118043916,0.012,0.045,1.37415476543188e-102
"CDKN1B",1.13894754270293e-106,0.832385630454782,0.151,0.088,3.31513461254542e-102
"AC011092.2",1.64018286959023e-106,-1.03841847042918,0.098,0.164,4.77408027851627e-102
"AC007533.1",1.91773781490392e-106,-1.64389901105944,0.021,0.06,5.58195945784083e-102
"GPR82",2.03608370712163e-106,-1.81945217826558,0.014,0.05,5.92642884631894e-102
"VNN2",2.5303677415495e-106,-1.56817715418758,0.019,0.058,7.36514138532813e-102
"TPP1",3.59539329477039e-106,0.626747180044819,0.251,0.174,1.04651112630882e-101
"CERS6",3.78913024548236e-106,0.775264950491707,0.515,0.465,1.10290214055255e-101
"RAP1B",5.22121889732918e-106,0.303783276259056,0.672,0.601,1.5197401844456e-101
"SGK3",5.23650876584782e-106,0.376037015802746,0.667,0.6,1.52419060647532e-101
"DCAF5",5.41095940765888e-106,0.420442888023678,0.517,0.441,1.57496795478727e-101
"RPS16",5.45031540374888e-106,0.650884274751047,0.264,0.187,1.58642330456919e-101
"CALM3",5.8111782185614e-106,0.870244005124407,0.092,0.042,1.69145964407667e-101
"PKN2",7.0180648096504e-106,-0.272379873460453,0.784,0.804,2.04274812414494e-101
"CRLF3",7.92280841319353e-106,-0.410207392664437,0.462,0.55,2.30609184482824e-101
"CNP",1.11480365024044e-105,-1.44169207375169,0.054,0.108,3.24485898475485e-101
"ADAMTSL2",1.34021555641285e-105,-0.709236236607296,0.189,0.273,3.90096542005087e-101
"IL1RAP",1.37669205492833e-105,-0.366452985312189,0.369,0.47,4.0071375642799e-101
"CD1D",1.46897787523666e-105,-3.37996396169732,0.003,0.028,4.27575390145134e-101
"AL121999.1",1.75981720743584e-105,-1.71905297794154,0.014,0.05,5.12229994568351e-101
"JAK1",2.17146587483922e-105,0.420490832211539,0.539,0.461,6.32048572189453e-101
"RHOBTB3",3.736752081752e-105,-0.739008894286746,0.122,0.194,1.08765642843556e-100
"AL157938.2",4.63226418445601e-105,-1.14207032258655,0.058,0.114,1.34831313616961e-100
"KIF9-AS1",5.1756666220359e-105,-0.647626884411347,0.185,0.268,1.50648128367599e-100
"NFE2L2",6.20798327401888e-105,0.338563248792369,0.692,0.624,1.80695769156868e-100
"IGSF6",8.696639558338e-105,-0.63714108967122,0.143,0.222,2.53133087624544e-100
"FMNL1",8.90019665556694e-105,0.444341786956422,0.451,0.369,2.59058024053587e-100
"AC073167.1",9.44808201439509e-105,-1.19882570100231,0.058,0.112,2.75005323192998e-100
"TMEM63B",1.05669976832991e-104,0.664622534252213,0.136,0.076,3.07573601567786e-100
"USP9X",1.48969498059025e-104,0.363099513105441,0.621,0.549,4.33605518000404e-100
"FCER1G",1.5127454554793e-104,0.698084886073531,0.207,0.135,4.40314819726361e-100
"AL445623.2",1.52451476296243e-104,1.11655944790431,0.149,0.089,4.43740512055473e-100
"CD99",1.73891420938694e-104,0.545497800592909,0.362,0.283,5.06145758926256e-100
